,content,sentiment
0,Mau verifikasi ktp kok susah bener yaa. Dahal pencahayaan udah oke. Upload data sim juga gk bisa-bisa sampek capek ngulangin terus,0
1,"Proses perpanjangan SIM online cepat,,saran mending krang 10hri baru d perpanjangan,,",1
2,Saya SGT terbantu dg perpanjang an SIM online ini ..,1
3,Pembuatan sim yang efektif.. menghindari oknum pungli yg berakibat merugikan negara kita.. maju terus POLRI 👍,1
4,"saya kasih 2 aja dulu soalnya dicoba data sudah masuk tapi proses selanjutnya ??? ga ada komfirmasi lagi. kenapa setiap aplikasi pemerintah selalu ga pernah sempurna / abal"" apa di sengaja. ide & tujuan bagus tapi ga pernah sempurna bisa berjalan lancar kalah sama aplikasi swasta 🤔🤔🤔???? harapan bisa diperbaiki tapi...??? niat mau perpanjang sim tapi malah dikerjain downlod aplikasi waktu sudah mepet lagi bukan lebih mudah malah sulit veripikasi, mungkin ga usah bikin sim uangnya buat makan😁",0
5,"Digitalisasi Sim Gagal terus sudah berulang kali dicoba, klo mesti datang ke satpas bukan online namanya",0
6,"Mending gausah perpanjang sim online, saya dari tanggal 7 mei 2023 sampai sekarang masih belum selesai. Aduan gapernah ditanggapi lgsung, cuma balesan bot otomatis.",0
7,"Mohon izin min menyampaikan, kenapa saat sdh melakukan pembayaran SIM nya utk proses ke tahap selanjutnya yakni proses pembuatan perpanjangan SIM nya agak lama min, jadi saya bingung apakah proses pembayaran dari saya sdh masuk rekening korlantas atau belum ini yg sampai ini jd kendala dalam tahap proses selanjutnya itu..apakah ada gangguan.. sdh 2 hari ini min proses nya kok nggak ada perubahan lanjut tahap berikutnya setelah lunas bayar..",0
8,Belum bisa untuk pembuatan SIM nasional,0
9,"Aplikasi serba gagal semua, sudah input sim tetep gagal, gabisa dipake sama sekali",0
10,"Baru kali ini perpanjang sim lewat apps ini, cukup mudah digunakan & dipahami, cocok bgt buat yg susah ambil cuti kerja hehe tapi masih banyak fitur yg blm tersedia layanannya, semoga kedepannya bisa dipermudah sprti ini & lebih ditingkatkan fitur aplikasinya. Mantaps👍",1
11,"Belum bisa bikin SIM baru, lambat update nya",0
12,"Fitur Buat sim Baru tidak Bisa di gunakan. Aku harap Kedepan Secepatnya Bisa di gunakan, Terima Kasih🙏",0
13,Lebih memudahkan perpanjangan SIM tanpa harus ke satlantas,1
14,"Cukup bagus cepat dan tidak menyita waktu, cuma pelayanan dipolresta ketika mengambil SIM nya kurang sopan. Dan petugasnya tidak stand by ditempat untuk melayani",1
15,"Ushakan lebih berkembang untuk buat sim baru,,,, kalau perpanjang sudah lumayan bagus",1
16,"mohon untuk perbaiki sistem input data, data tidak sesuai antar yng diinput dengan yang tercetak di SIM, tidak bisa submit data untuk pengguna kartu selular tertentu, penempatan pas foto tidak proposional di SIM yang tercetak padahal ukuran foto sudah sesuai dengan ketentuan",0
17,"Oke, semoga kedepannya bisa ngurus sim baru lewat online",1
18,"Ga bisa tambah SIM A dan SIM C, padahal udah ikutin prosedur.. Udah dicoba input manual, scan NFC, tetap gagal. Mohon bantuannya...",0
19,Mohon maaf sebelumnya. Saya perpanjang SIM dari tanggal 14 April 2022 sampai sekarang tanggal 03 Mei 2023 itu proses nya masih 50% aja. Mohon bantuan atas perihal yang saya sampaikan di atas,1
20,"Fungsi nya belum lengkap, sudah 1 tahun, diluncurkan, ternyata buat SIM baru belum bisa",0
21,"Akhirnya sim saya bisa diperpanjang dan berhasil. Meski tanggal masa berlakunya mepet banget pas hari minggu, tapi tetap diproses hari seninnya. Sempet was was krna hari terakhir pas jatuh hari minggu. Terimakasih banyak..",1
22,"Perpanjangan sim sudah selesai dengan lancar ,estimasi sekitar 1mnggu sejak pengajuan Perpanjangan SIM, terima kasih. 👍👍",1
23,Untuk layanan perpanjangan SIM sudah lumayan bagus tapi sayang untuk layanan SIM baru belum ada untuk wilayah saya Kalsel,1
24,"Mantap, bisa melakukan perpanjangan SIM sambil rebahan di rumah...",1
25,Aplikasi ini sangat membantu & mempermudah untuk perpanjangan SIM. duduk santai di rumah tanpa perlu cape-cape antri. Begitu selesai tes tinggal tunggu SIM sampai rumah. Dan yg lebih menguntungkan lagi aplikasi ini bebas pungli dari oknum2 yg tidak bertanggung jawab.,1
26,"Dikira bisa untuk pembuatan sim baru, ternyata eh ternyata noh",0
27,Gimana ceritanya tinggal nunggu pengiriman malah ada pemberitahuan di tolak!!!!!!! Saya sudah nunggu 4hari/saya sudah bayar semua! Kalo di tolak gitu jadinya saya kelewat perpanjang sim nya!!! Terus siapa yg harus di salahkan!!! Harusnya kalo mau di tolak ya awalnya ke. Biar saya perpanjangan ke kantor saja!! BUKAN MEMPERMUDAH MALAH MEMPERSULIT ‼️,0
28,g harus ngantri tinggal duduk dirumah SIM sampai rumah.... semoga menu yg lain d.aplikasi bisa aktif semua... trimaksih POLRI...,1
29,"Bintang 3 aja lah, aplikasinya aneh, mau daftar buat bikin sim layanannya belum tersedia, pengaduan belum tersedia jadi aplikasinya nganggur nggak bisa dipake",0
30,"Semua tes lebih tenang, bisa kapan dan dimana saja. Pengiriman sim fisik lancar dan cepat. Mantap",1
31,Kak in sya udah bayar kok proses nya msih 40% trus ya? Udah 3 hari in perpanjang sim nya.,0
32,Aplikasi masih sangat belum lengkap. B?anyak fitur masih belum tersedia namun sudah di publish aplikasinya. Menu Pengajuan SIM baru ada tapi sekali diklik belum tersedia layanannya. Mudah2an semua menu dan fitur layanannya segera lengkap semua dan bisa benar2 digunakan sehingga mempermudah masyarakat yang ingin membuat SIM tidak perlu antri yang panjang lagi,0
33,sangat mudah dipahami dan sim saya sudah jadi. namun ada kendala di e rikkes yang masih selalu error.,1
34,Saat digitalisasi SIM selalu gagal,0
